Compound,display_name,description
3Hydroxybutyrate,3-Hydroxybutyrate,Organic acid
Acetate,Acetate,Organic acid
Acetoacetate,Acetoacetate,Organic acid
Acetone,Acetone,Ketone
Albumin,Albumin,Protein
Cholesterol,Cholesterol,Steroid
Choline,Choline,Choline
cis-Aconitate,cis-Aconitate,Organic acid
Creatine,Creatine,Amine
Creatinine,Creatinine,Amine
Glucose,Glucose,Hexose sugar
Mannose,Mannose,Hexose sugar
Dimethylamine,Dimethylamine,Amine
Ethanol,Ethanol,Alcohol
Fatty acid,Fatty acid,Fatty acid
Fatty acid (mainly LDL),Fatty acid (mainly LDL),Fatty acid
Fatty acid (mainly VLDL),Fatty acid (mainly VLDL),Fatty acid
Formate,Formate,Organic acid
Glutamine,Glutamine,Amino acid
Glycerol,Glycerol,Alcohol
Glycerophosphocholine,Glycerophosphocholine,Choline
Glycine,Glycine,Amino acid
Hypoxanthine,Hypoxanthine,Purine
Inosine,Inosine,Nucleoside
Alanine,Alanine,Amino acid
Aspartate,Aspartate,Amino acid
Glutamate,Glutamate,Amino acid
Histidine,Histidine,Amino acid
Isoleucine,Isoleucine,Amino acid
Lactate,Lactate,Organic acid
Lysine,Lysine,Amino acid
Methionine,Methionine,Amino acid
Ornithine,Ornithine,Amino acid
Phenylalanine,Phenylalanine,Amino acid
Proline,Proline,Amino acid
Tyrosine,Tyrosine,Amino acid
Valine,Valine,Amino acid
Leucine,Leucine,Amino acid
Malonate,Malonate,Organic acid
Methanol,Methanol,Alcohol
NAC,N-acetyl-glycoprotein,Protein
Pyruvate,Pyruvate,Organic acid
Succinate,Succinate,Organic acid
